"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Inlinks","Response Time","Redirect URL","Redirect Type"
"https://unityverseacademy.com/blog-detay/basari-hikâyesi-melike-cetinin-lc-waikikideki-doku-kaplama-ve-desen-tasarimi-yolculugu-105/","text/html; charset=utf-8","301","Moved Permanently","Non-Indexable","Redirected","9","0,188","https://unityverseacademy.com/blog/","HTTP Redirect"
"https://unityverseacademy.com/blog-detay/basari-hikâyesi-gokce-yilmaz-barunun-shopcutebutcreepy-markasiyla-girisimcilik-yolculugu-109/","text/html; charset=utf-8","301","Moved Permanently","Non-Indexable","Redirected","9","0,216","https://unityverseacademy.com/blog/","HTTP Redirect"
"https://unityverseacademy.com/blog-detay/basari-hikâyesi-gulsah-temelin-eczacibasindaki-3ds-max-tasarim-yolculugu-106/","text/html; charset=utf-8","301","Moved Permanently","Non-Indexable","Redirected","9","0,303","https://unityverseacademy.com/blog/","HTTP Redirect"
"https://unityverseacademy.com/blog-detay/basari-hikâyesi-buse-sahinoglunun-eczacibasindaki-3d-tasarim-yolculugu-107/","text/html; charset=utf-8","301","Moved Permanently","Non-Indexable","Redirected","9","0,069","https://unityverseacademy.com/blog/","HTTP Redirect"
"https://unityverseacademy.com/blog-detay/unityverse-academy-mezunu-turgay-sefa-sarigedikin-basari-hikâyesi-313/","text/html; charset=utf-8","301","Moved Permanently","Non-Indexable","Redirected","24","0,070","https://unityverseacademy.com/blog/","HTTP Redirect"
"https://unityverseacademy.com/urun/v-ray-ile-gercekci-ic-ve-dis-mekân-render-uretimi-egitimi-yuz-yuze-1622/","text/html; charset=utf-8","301","Moved Permanently","Non-Indexable","Redirected","4","0,208","https://unityverseacademy.com/tum-urunler/","HTTP Redirect"
"https://unityverseacademy.com/uploads/fm/FEYYAZ_AĞIRMAN_CV_TR.pdf","text/html; charset=utf-8","301","Moved Permanently","Non-Indexable","Redirected","2","0,193","https://unityverseacademy.com/","HTTP Redirect"
"https://unityverseacademy.com/urun/sketchupta-mimari-ve-ic-mekân-modelleme-egitimi-uygulamali-yuz-yuze-1620/","text/html; charset=utf-8","301","Moved Permanently","Non-Indexable","Redirected","4","0,065","https://unityverseacademy.com/tum-urunler/","HTTP Redirect"
"https://unityverseacademy.com/urun/v-ray-ile-gercekci-ic-ve-dis-mekân-render-uretimi-egitimi-online-egitim-1623/","text/html; charset=utf-8","301","Moved Permanently","Non-Indexable","Redirected","4","0,067","https://unityverseacademy.com/tum-urunler/","HTTP Redirect"
"https://unityverseacademy.com/uploads/fm/Resume.pdf","text/html; charset=utf-8","301","Moved Permanently","Non-Indexable","Redirected","3","0,188","https://unityverseacademy.com/","HTTP Redirect"
"https://unityverseacademy.com/urun/unity-ile-oyun-gelistirme-canli-online-egitimi/17/","text/html","301","Moved Permanently","Non-Indexable","Redirected","11","0,066","https://unityverseacademy.com/urun/unity-ile-oyun-gelistirme-canli-online-egitimi-staj-garantili-17/","HTTP Redirect"
"https://unityverseacademy.com/urun/دورة-اللغة-التركية-a1-a1-turkce-kursu-1118/","text/html; charset=utf-8","301","Moved Permanently","Non-Indexable","Redirected","4","0,066","https://unityverseacademy.com/tum-urunler/","HTTP Redirect"
"https://unityverseacademy.com/urun/sketchupta-mimari-ve-ic-mekân-modelleme-egitimi-uygulamali-online-1619/","text/html; charset=utf-8","301","Moved Permanently","Non-Indexable","Redirected","4","0,209","https://unityverseacademy.com/tum-urunler/","HTTP Redirect"
